UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,Inspectors
1233,L48412,L,297.2,308.6,1500,37.1,161.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-07-02"", ""all_passed"": false}"
1235,H30648,H,297.2,308.5,2440,14.0,166.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-11-10"", ""all_passed"": true}"
1238,M16097,M,297.1,308.4,1502,37.3,181.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-08-15"", ""all_passed"": true}"
1239,M16098,M,297.1,308.4,1615,32.6,184.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-04-12"", ""all_passed"": false}"
1240,H30653,H,297.2,308.5,1482,39.3,187.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer""], ""shift"": ""day"", ""date"": ""2024-12-21"", ""all_passed"": true}"
1245,L48424,L,297.1,308.4,1726,28.4,202.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Eriksson"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-11-14"", ""all_passed"": true}"
1247,H30660,H,297.2,308.5,1653,33.3,207.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""night"", ""date"": ""2024-12-30"", ""all_passed"": true}"
1251,L48430,L,297.3,308.7,1549,36.1,218.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Fischer"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-12-20"", ""all_passed"": true}"
1252,M16111,M,297.4,308.8,1359,48.7,220.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-07-26"", ""all_passed"": true}"
1253,L48432,L,297.5,308.8,1533,41.5,223.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-11-12"", ""all_passed"": true}"
1262,H30675,H,297.6,309.0,1885,25.2,24.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-02-20"", ""all_passed"": true}"
1263,H30676,H,297.8,309.2,1648,33.0,29.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer""], ""shift"": ""day"", ""date"": ""2024-12-18"", ""all_passed"": true}"
1272,H30685,H,298.0,309.4,1490,40.5,53.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-09-12"", ""all_passed"": true}"
1273,H30686,H,298.0,309.4,1562,38.1,58.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""day"", ""date"": ""2024-04-15"", ""all_passed"": true}"
1277,M16136,M,298.2,309.4,1693,34.4,73.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""night"", ""date"": ""2024-08-07"", ""all_passed"": true}"
1292,M16151,M,298.6,309.7,1675,28.4,115.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-07-29"", ""all_passed"": true}"
1294,H30707,H,298.7,309.8,1582,33.4,121.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-08-30"", ""all_passed"": true}"
1296,L48475,L,298.7,309.8,1402,54.3,128.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-03-24"", ""all_passed"": true}"
1297,L48476,L,298.7,309.9,1621,34.1,130.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-05-15"", ""all_passed"": true}"
1301,L48480,L,298.7,309.8,1322,57.0,140.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-12-11"", ""all_passed"": true}"
1302,L48481,L,298.7,309.9,1483,32.8,142.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-12-01"", ""all_passed"": true}"
1319,M16178,M,299.0,310.3,1582,33.3,177.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-09-26"", ""all_passed"": true}"
1323,H30736,H,298.9,310.1,1452,49.9,187.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-11-13"", ""all_passed"": false}"
1326,H30739,H,298.8,310.1,1567,36.8,197.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-03-25"", ""all_passed"": true}"
1327,L48506,L,298.9,310.2,1411,46.5,202.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-04-11"", ""all_passed"": true}"
1328,L48507,L,298.8,310.2,1814,26.8,204.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-11-12"", ""all_passed"": true}"
1330,H30743,H,298.8,310.2,1663,30.4,209.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-06-29"", ""all_passed"": true}"
1331,L48510,L,298.9,310.2,1696,30.2,214.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois""], ""shift"": ""swing"", ""date"": ""2024-09-01"", ""all_passed"": true}"
1337,L48516,L,298.9,310.3,1583,32.6,230.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-09-11"", ""all_passed"": false}"
1338,H30751,H,298.7,310.2,1613,36.0,0.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-01-16"", ""all_passed"": true}"
1342,M16201,M,298.6,310.2,1328,50.5,12.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""night"", ""date"": ""2024-01-11"", ""all_passed"": true}"
1346,L48525,L,298.5,310.0,1804,26.1,22.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-12-26"", ""all_passed"": true}"
1347,L48526,L,298.6,310.1,1533,33.9,24.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-03-02"", ""all_passed"": true}"
1348,L48527,L,298.7,310.2,1717,27.3,26.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Hofmann"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-08-08"", ""all_passed"": true}"
1358,L48537,L,298.6,309.9,1461,45.7,49.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Jensen"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-05-16"", ""all_passed"": false}"
1364,L48543,L,298.7,310.1,1433,54.6,66.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""day"", ""date"": ""2024-05-28"", ""all_passed"": true}"
1369,H30782,H,298.8,310.3,1708,27.1,78.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Eriksson"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-07-17"", ""all_passed"": true}"
1372,M16231,M,298.7,310.3,1495,38.7,88.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-11-09"", ""all_passed"": true}"
1379,H30792,H,298.8,310.2,1455,44.9,107.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-11-03"", ""all_passed"": true}"
1387,L48566,L,298.9,310.2,1445,40.0,129.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-03-07"", ""all_passed"": true}"
1388,L48567,L,298.9,310.1,1823,26.1,131.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""night"", ""date"": ""2024-01-14"", ""all_passed"": true}"
1389,H30802,H,298.9,310.1,1491,45.3,133.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Iqbal"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-08-08"", ""all_passed"": true}"
1393,M16252,M,299.0,310.3,1494,46.6,144.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-06-14"", ""all_passed"": true}"
1400,L48579,L,299.0,310.2,1533,43.5,159.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""day"", ""date"": ""2024-09-14"", ""all_passed"": true}"
1406,L48585,L,298.9,310.1,1394,42.7,179.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-06-14"", ""all_passed"": false}"
1413,M16272,M,298.8,309.9,1415,53.2,194.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Fischer"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-04-09"", ""all_passed"": true}"
1415,M16274,M,298.7,309.8,1570,42.1,200.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Keller"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-01-09"", ""all_passed"": true}"
1418,L48597,L,298.7,309.9,1541,38.5,208.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Iqbal"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-12-23"", ""all_passed"": true}"
1421,M16280,M,298.8,309.9,1495,35.2,214.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-02-24"", ""all_passed"": true}"
1432,M16291,M,298.9,309.9,1404,41.4,20.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-04-13"", ""all_passed"": true}"
1441,M16300,M,298.8,309.9,1741,27.7,50.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""night"", ""date"": ""2024-10-31"", ""all_passed"": true}"
1450,H30863,H,299.0,310.4,1677,30.8,73.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-01-14"", ""all_passed"": true}"
1453,L48632,L,299.0,310.3,1584,34.4,83.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-03-10"", ""all_passed"": true}"
1455,L48634,L,299.1,310.4,1428,46.9,87.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Keller"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-01-23"", ""all_passed"": true}"
1456,L48635,L,299.0,310.4,1382,53.0,89.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-05-07"", ""all_passed"": true}"
1470,L48649,L,298.6,309.8,1497,41.6,118.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois""], ""shift"": ""day"", ""date"": ""2024-11-15"", ""all_passed"": false}"
1476,M16335,M,298.4,309.5,1519,35.4,133.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""day"", ""date"": ""2024-07-05"", ""all_passed"": true}"
1479,L48658,l,298.3,309.4,1568,35.8,140.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Chen"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-01-10"", ""all_passed"": true}"
1482,M16341,M,298.2,309.2,1332,60.2,147.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-02"", ""all_passed"": true}"
1486,M16345,M,298.1,309.0,1976,19.3,158.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-06-28"", ""all_passed"": true}"
1489,L48668,L,298.2,309.1,1568,36.3,166.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-07-11"", ""all_passed"": true}"
1490,M16349,M,298.2,309.0,1723,26.6,168.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-11-21"", ""all_passed"": true}"
1493,M16352,M,298.0,308.7,1479,58.5,176.0,1,Power Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-05-11"", ""all_passed"": true}"
1496,H30909,H,297.9,308.5,1383,44.6,184.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen""], ""shift"": ""swing"", ""date"": ""2024-04-04"", ""all_passed"": true}"
1503,L48682,L,298.0,308.7,1462,48.2,204.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-11-08"", ""all_passed"": true}"
1505,L48684,L,298.0,308.7,1506,47.0,208.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-10-02"", ""all_passed"": true}"
1508,M16367,M,298.0,308.6,1376,55.7,214.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-10-02"", ""all_passed"": false}"
1517,L48696,l,298.2,308.9,1278,54.0,18.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-03-28"", ""all_passed"": true}"
1528,H30941,H,298.1,309.1,1425,44.5,49.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Dubois""], ""shift"": ""day"", ""date"": ""2024-03-26"", ""all_passed"": true}"
1558,L48737,L,298.3,308.4,1585,30.6,127.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""swing"", ""date"": ""2024-11-27"", ""all_passed"": true}"
1562,L48741,L,298.2,308.4,1388,53.8,137.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-11-16"", ""all_passed"": true}"
1569,L48748,L,298.2,308.2,1407,47.1,153.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-12-20"", ""all_passed"": false}"
1576,L48755,L,298.2,308.3,2057,18.0,168.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-11-15"", ""all_passed"": true}"
1578,L48757,L,298.3,308.4,1484,43.4,172.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-02-02"", ""all_passed"": true}"
1583,H30996,H,298.1,308.3,1530,42.0,184.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Fischer""], ""shift"": ""swing"", ""date"": ""2024-08-29"", ""all_passed"": true}"
1588,M16447,M,298.2,308.3,1448,43.3,199.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Brunner""], ""shift"": ""day"", ""date"": ""2024-03-13"", ""all_passed"": true}"
1589,L48768,L,298.2,308.3,1688,32.0,202.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-02-11"", ""all_passed"": true}"
1591,L48770,L,298.2,308.4,1497,37.7,207.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""day"", ""date"": ""2024-05-28"", ""all_passed"": true}"
1601,M16460,M,297.8,307.8,1543,43.7,8.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Hofmann"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-02-24"", ""all_passed"": true}"
1611,L48790,L,297.8,307.8,1573,37.9,33.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-06-19"", ""all_passed"": true}"
1614,L48793,L,297.9,308.0,1296,62.9,41.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-07-15"", ""all_passed"": true}"
1618,L48797,L,297.8,307.8,1563,34.3,53.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-02-16"", ""all_passed"": false}"
1620,L48799,L,297.9,307.7,1590,34.6,57.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-05-19"", ""all_passed"": true}"
1631,L48810,L,297.9,307.9,1412,44.5,85.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-11-11"", ""all_passed"": true}"
1635,H31048,H,297.9,307.9,1406,58.5,93.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Fischer""], ""shift"": ""night"", ""date"": ""2024-07-23"", ""all_passed"": true}"
1638,L48817,L,297.9,307.8,1665,33.9,102.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-05-27"", ""all_passed"": true}"
1641,L48820,L,298.0,307.8,1567,36.4,109.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-06-13"", ""all_passed"": true}"
1650,H31063,H,298.0,307.9,1482,37.8,132.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""day"", ""date"": ""2024-01-27"", ""all_passed"": true}"
1653,H31066,High,297.9,307.8,1635,34.0,142.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Jensen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-07-30"", ""all_passed"": true}"
1655,L48834,L,298.2,308.1,1379,62.3,149.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Chen"", ""Fischer""], ""shift"": ""day"", ""date"": ""2024-11-22"", ""all_passed"": true}"
1656,M16515,M,298.2,308.0,1577,35.9,151.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Chen"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-03-24"", ""all_passed"": true}"
1659,H31072,H,298.1,308.0,1570,35.3,159.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-04-20"", ""all_passed"": true}"
1662,M16521,M,298.2,308.0,1411,47.2,168.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-01-11"", ""all_passed"": true}"
1666,H31079,H,298.2,307.9,1491,39.7,181.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-02-24"", ""all_passed"": false}"
1671,L48850,L,298.2,307.8,1528,31.1,194.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""night"", ""date"": ""2024-04-27"", ""all_passed"": true}"
1678,M16537,M,297.9,307.5,1647,30.8,212.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""day"", ""date"": ""2024-09-23"", ""all_passed"": true}"
1679,L48858,L,298.0,307.5,1644,32.8,215.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-10-16"", ""all_passed"": true}"
1680,L48859,L,298.0,307.5,1792,27.9,217.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-06-28"", ""all_passed"": true}"
1694,H31107,H,298.0,307.5,1683,27.8,26.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-04-15"", ""all_passed"": false}"
1697,L48876,L,297.9,307.6,1550,39.0,35.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-08-13"", ""all_passed"": true}"
1703,L48882,L,298.0,307.7,1430,47.3,49.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-04-14"", ""all_passed"": true}"
1705,M16564,M,298.1,307.8,1503,44.7,54.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""swing"", ""date"": ""2024-10-19"", ""all_passed"": true}"
1707,L48886,L,298.2,307.8,1521,,60.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-11-06"", ""all_passed"": true}"
1716,L48895,L,298.2,307.8,1585,34.6,78.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-11-02"", ""all_passed"": true}"
1718,L48897,L,298.2,307.6,1369,54.5,82.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""day"", ""date"": ""2024-07-08"", ""all_passed"": false}"
1719,M16578,M,298.2,307.7,1681,31.0,84.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-06-12"", ""all_passed"": true}"
1723,M16582,M,298.2,307.7,1952,21.6,93.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-14"", ""all_passed"": true}"
1724,L48903,L,298.2,307.8,2029,19.9,96.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-08-15"", ""all_passed"": true}"
1727,L48906,L,298.3,307.8,1906,22.1,104.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-01-22"", ""all_passed"": true}"
1730,M16589,M,298.3,307.7,1439,43.8,111.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen""], ""shift"": ""day"", ""date"": ""2024-08-02"", ""all_passed"": true}"
1733,H31146,H,298.4,307.9,1700,28.2,,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""day"", ""date"": ""2024-12-17"", ""all_passed"": true}"
1739,H31152,H,298.4,307.9,1948,21.4,136.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-11-28"", ""all_passed"": true}"
1740,H31153,H,298.5,307.9,1260,54.2,141.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-05-10"", ""all_passed"": true}"
1746,L48925,L,298.5,308.0,1624,29.8,160.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson"", ""Fischer""], ""shift"": ""swing"", ""date"": ""2024-04-15"", ""all_passed"": true}"
1749,H31162,H,298.4,307.7,1626,31.1,166.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-03-24"", ""all_passed"": true}"
1760,H31173,H,298.0,307.4,1606,35.2,195.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-03-10"", ""all_passed"": true}"
1763,H31176,H,298.2,307.6,1460,48.6,204.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""swing"", ""date"": ""2024-10-21"", ""all_passed"": true}"
1769,M16628,M,298.3,307.8,1485,42.0,13.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Iqbal"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-04-08"", ""all_passed"": true}"
1778,H31191,H,298.6,308.2,1555,36.8,36.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois""], ""shift"": ""day"", ""date"": ""2024-08-29"", ""all_passed"": false}"
1785,L48964,L,298.3,308.0,2886,3.8,57.0,1,Power Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-05-14"", ""all_passed"": true}"
1803,H31216,H,298.1,307.6,1496,44.1,104.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Iqbal"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-11-18"", ""all_passed"": true}"
1805,L48984,L,298.1,307.7,1495,48.1,111.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Hofmann"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-05-01"", ""all_passed"": true}"
1807,H31220,H,298.0,307.6,1593,32.2,118.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""night"", ""date"": ""2024-08-21"", ""all_passed"": true}"
1815,L48994,L,298.1,307.7,1650,34.1,138.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-05-18"", ""all_passed"": true}"
1819,M16678,M,298.1,307.7,1435,40.9,147.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-27"", ""all_passed"": true}"
1822,L49001,L,298.1,307.6,1354,43.3,155.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Eriksson""], ""shift"": ""day"", ""date"": ""2024-03-20"", ""all_passed"": true}"
